epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.25695,0.63499,3.44968,1.18254,0.00439,1,0.1286,0.09121,0.39489,3.67047,1.04704,0.0001,0.0001,0.0001
2,11.8863,0.50465,3.09366,1.11601,0.0088,1,0.21783,0.17178,0.45622,3.42505,1.03609,0.000205842,0.000205842,0.000205842
3,15.4077,0.47981,2.64968,1.08226,0.00889,1,0.30597,0.23263,0.54493,3.08117,1.10644,0.000307328,0.000307328,0.000307328
4,20.6195,0.47634,2.35523,1.07434,0.40793,0.27604,0.27859,0.23457,0.67408,2.70655,1.23251,0.000404458,0.000404458,0.000404458
5,24.2484,0.5219,2.11392,1.07669,0.89259,0.23889,0.37981,0.26871,1.26323,2.33312,2.14603,0.000497232,0.000497232,0.000497232
6,27.8418,0.49009,1.91782,1.05159,0.4767,0.52303,0.43481,0.35907,0.6184,2.0325,1.20011,0.00058565,0.00058565,0.00058565
7,31.8874,0.50665,1.84421,1.07895,0.38462,0.57527,0.46311,0.34491,0.75836,2.06864,1.31539,0.000669712,0.000669712,0.000669712
8,36.5536,0.53588,1.81142,1.09182,0.31549,0.71018,0.33314,0.24324,0.6813,4.02327,1.26483,0.000749418,0.000749418,0.000749418
9,39.9724,0.51313,1.74523,1.06989,0.4858,0.37671,0.36483,0.27431,0.8718,3.47262,1.61381,0.000824768,0.000824768,0.000824768
10,43.5009,0.51727,1.69853,1.07909,0.38786,0.48572,0.4301,0.32486,0.70386,2.82798,1.38353,0.0008218,0.0008218,0.0008218
11,48.2575,0.49185,1.5985,1.04547,0.35875,0.50012,0.41854,0.34144,0.70694,1.89097,1.32975,0.000802,0.000802,0.000802
12,52.2096,0.53264,1.56244,1.08688,0.4016,0.57253,0.43942,0.34999,0.61592,2.12587,1.18283,0.0007822,0.0007822,0.0007822
13,55.7252,0.51115,1.46697,1.05592,0.32151,0.54167,0.39435,0.31071,0.63204,2.07277,1.19874,0.0007624,0.0007624,0.0007624
14,59.3701,0.53948,1.49395,1.08231,0.26723,0.47917,0.3438,0.27602,0.67327,2.80786,1.18589,0.0007426,0.0007426,0.0007426
15,64.2735,0.49244,1.39933,1.0398,0.23499,0.51806,0.33706,0.27291,0.62982,2.7851,1.2302,0.0007228,0.0007228,0.0007228
16,67.7358,0.46858,1.3168,1.03829,0.67961,0.43742,0.48552,0.34268,0.85359,2.35658,1.52061,0.000703,0.000703,0.000703
17,71.4766,0.46507,1.31529,1.04965,0.63973,0.46784,0.50742,0.36822,0.85128,2.22198,1.48525,0.0006832,0.0006832,0.0006832
18,75.8804,0.44947,1.23448,1.05479,0.71214,0.43594,0.48672,0.37682,0.6974,2.43618,1.23787,0.0006634,0.0006634,0.0006634
19,80.306,0.44852,1.20922,1.03629,0.65433,0.58194,0.54092,0.44214,0.70638,1.90252,1.27082,0.0006436,0.0006436,0.0006436
20,84.6396,0.45336,1.30631,1.03926,0.54714,0.65386,0.59209,0.46586,0.66791,2.12188,1.19596,0.0006238,0.0006238,0.0006238
21,90.1896,0.43013,1.19219,1.02048,0.36789,0.54697,0.57235,0.4333,0.68157,1.94466,1.14994,0.000604,0.000604,0.000604
22,94.3703,0.44138,1.19482,1.05025,0.648,0.50139,0.56847,0.42798,0.76744,1.7077,1.22495,0.0005842,0.0005842,0.0005842
23,98.0632,0.44344,1.15941,1.0158,0.65229,0.49052,0.50613,0.38155,0.85591,1.99555,1.28192,0.0005644,0.0005644,0.0005644
24,101.643,0.42275,1.12158,1.00141,0.78747,0.46944,0.53485,0.43192,0.68895,1.76274,1.18259,0.0005446,0.0005446,0.0005446
25,106.984,0.42084,1.11288,1.00571,0.70522,0.43333,0.5589,0.46441,0.63584,1.66222,1.15168,0.0005248,0.0005248,0.0005248
26,110.511,0.40849,1.10096,1.03593,0.55228,0.61688,0.67868,0.59975,0.55336,1.51375,1.10518,0.000505,0.000505,0.000505
27,114.155,0.39846,1.03509,0.99103,0.53287,0.62313,0.66652,0.6076,0.53428,1.46776,1.06471,0.0004852,0.0004852,0.0004852
28,118.342,0.38865,1.05156,1.01121,0.60561,0.62001,0.67145,0.61504,0.5213,1.49931,1.03616,0.0004654,0.0004654,0.0004654
29,122.81,0.37176,0.94376,0.98324,0.52005,0.7469,0.68829,0.63244,0.47831,1.57227,0.99358,0.0004456,0.0004456,0.0004456
30,126.395,0.39882,0.99341,0.99235,0.49434,0.70755,0.66582,0.60866,0.47034,1.71294,0.99114,0.0004258,0.0004258,0.0004258
31,129.896,0.35349,0.97118,0.96751,0.42425,0.69226,0.61349,0.55294,0.45863,1.81551,0.97666,0.000406,0.000406,0.000406
32,134.971,0.38309,0.9054,0.97535,0.57697,0.49654,0.5772,0.5369,0.41149,1.96947,0.89943,0.0003862,0.0003862,0.0003862
33,138.634,0.37683,0.90368,0.97681,0.55328,0.52388,0.61971,0.57221,0.40904,1.79261,0.90189,0.0003664,0.0003664,0.0003664
34,142.056,0.37604,0.97287,0.97661,0.61502,0.6204,0.67997,0.62236,0.40973,1.5612,0.92803,0.0003466,0.0003466,0.0003466
35,145.967,0.39023,0.93522,0.98523,0.5622,0.68652,0.65036,0.602,0.39671,1.54499,0.90053,0.0003268,0.0003268,0.0003268
36,150.702,0.34818,0.87692,0.96537,0.70959,0.66884,0.64297,0.61131,0.3875,1.41632,0.88513,0.000307,0.000307,0.000307
37,154.351,0.37988,0.90097,0.99701,0.7061,0.62842,0.63739,0.59828,0.38122,1.34912,0.88381,0.0002872,0.0002872,0.0002872
38,157.968,0.33953,0.82849,0.96856,0.77341,0.65778,0.69406,0.64864,0.37491,1.21951,0.88921,0.0002674,0.0002674,0.0002674
39,162.797,0.33721,0.8029,0.93416,0.82396,0.66905,0.76425,0.71449,0.38022,1.10604,0.8948,0.0002476,0.0002476,0.0002476
40,166.584,0.30841,0.76142,0.94703,0.541,0.75694,0.74227,0.69731,0.36718,1.14077,0.86126,0.0002278,0.0002278,0.0002278
41,172.026,0.34388,1.28811,1.05361,0.59525,0.70161,0.72104,0.67024,0.42949,1.16226,0.90249,0.000208,0.000208,0.000208
42,176.243,0.33575,1.1948,1.04442,0.56484,0.75226,0.74854,0.67844,0.51515,1.38081,0.96517,0.0001882,0.0001882,0.0001882
43,180.35,0.30929,1.10604,1.00898,0.57587,0.75694,0.70722,0.6741,0.39154,1.30992,0.88295,0.0001684,0.0001684,0.0001684
44,183.747,0.2708,1.02997,1.0058,0.72957,0.60651,0.68645,0.65415,0.366,1.40365,0.8711,0.0001486,0.0001486,0.0001486
45,186.936,0.26672,0.95658,0.99447,0.81534,0.53719,0.692,0.65903,0.3658,1.45199,0.88122,0.0001288,0.0001288,0.0001288
46,191.998,0.26218,0.95126,0.99377,0.56268,0.70148,0.68373,0.65244,0.37463,1.52733,0.88998,0.000109,0.000109,0.000109
47,195.525,0.24412,0.93637,0.95281,0.66508,0.66684,0.69183,0.66188,0.36849,1.50763,0.87259,8.92e-05,8.92e-05,8.92e-05
